countyID,LKType,LKName,probText
5334,StädteRegion,Aachen,-67.9
7131,LK,Ahrweiler,100.0
9771,LK,Aichach-Friedberg,100.0
8425,LK,Alb-Donau-Kreis,100.0
16077,LK,Altenburger Land,99.3
7132,LK,Altenkirchen,100.0
15081,LK,Altmarkkreis Salzwedel,88.4
9171,LK,Altötting,100.0
7331,LK,Alzey-Worms,100.0
9361,SK,Amberg,99.1
9371,LK,Amberg-Sulzbach,100.0
3451,LK,Ammerland,99.9
15082,LK,Anhalt-Bitterfeld,99.5
9561,SK,Ansbach,99.9
9571,LK,Ansbach,100.0
9661,SK,Aschaffenburg,100.0
9671,LK,Aschaffenburg,100.0
9772,LK,Augsburg,100.0
9761,SK,Augsburg,100.0
3452,LK,Aurich,100.0
7332,LK,Bad Dürkheim,100.0
9672,LK,Bad Kissingen,100.0
7133,LK,Bad Kreuznach,100.0
9173,LK,Bad Tölz-Wolfratshausen,100.0
8211,SK,Baden-Baden,100.0
9471,LK,Bamberg,100.0
9461,SK,Bamberg,100.0
12060,LK,Barnim,100.0
14625,LK,Bautzen,100.0
9472,LK,Bayreuth,100.0
9462,SK,Bayreuth,99.9
9172,LK,Berchtesgadener Land,98.2
6431,LK,Bergstraße,100.0
11004,SK,Berlin Charlottenburg-Wilmersdorf,100.0
11002,SK,Berlin Friedrichshain-Kreuzberg,100.0
11011,SK,Berlin Lichtenberg,100.0
11010,SK,Berlin Marzahn-Hellersdorf,100.0
11001,SK,Berlin Mitte,100.0
11008,SK,Berlin Neukölln,100.0
11003,SK,Berlin Pankow,100.0
11012,SK,Berlin Reinickendorf,100.0
11005,SK,Berlin Spandau,100.0
11006,SK,Berlin Steglitz-Zehlendorf,100.0
11007,SK,Berlin Tempelhof-Schöneberg,100.0
11009,SK,Berlin Treptow-Köpenick,100.0
7231,LK,Bernkastel-Wittlich,100.0
8426,LK,Biberach,100.0
5711,SK,Bielefeld,99.9
7134,LK,Birkenfeld,100.0
7232,LK,Bitburg-Prüm,100.0
8115,LK,Böblingen,100.0
5911,SK,Bochum,100.0
8435,LK,Bodenseekreis,100.0
5314,SK,Bonn,100.0
15083,LK,Börde,100.0
5554,LK,Borken,100.0
5512,SK,Bottrop,100.0
12051,SK,Brandenburg a.d.Havel,99.3
3101,SK,Braunschweig,100.0
8315,LK,Breisgau-Hochschwarzwald,100.0
4011,SK,Bremen,100.0
4012,SK,Bremerhaven,98.9
15084,LK,Burgenlandkreis,99.8
8235,LK,Calw,100.0
3351,LK,Celle,99.9
9372,LK,Cham,100.0
14511,SK,Chemnitz,100.0
3453,LK,Cloppenburg,100.0
9463,SK,Coburg,100.0
9473,LK,Coburg,100.0
7135,LK,Cochem-Zell,100.0
5558,LK,Coesfeld,99.9
12052,SK,Cottbus,98.7
3352,LK,Cuxhaven,99.1
9174,LK,Dachau,100.0
12061,LK,Dahme-Spreewald,100.0
6411,SK,Darmstadt,100.0
6432,LK,Darmstadt-Dieburg,100.0
9271,LK,Deggendorf,100.0
3401,SK,Delmenhorst,95.7
15001,SK,Dessau-Roßlau,100.0
3251,LK,Diepholz,100.0
9773,LK,Dillingen a.d.Donau,100.0
9279,LK,Dingolfing-Landau,100.0
1051,LK,Dithmarschen,99.9
9779,LK,Donau-Ries,100.0
7333,LK,Donnersbergkreis,100.0
5913,SK,Dortmund,100.0
14612,SK,Dresden,100.0
5112,SK,Duisburg,100.0
5358,LK,Düren,100.0
5111,SK,Düsseldorf,100.0
9175,LK,Ebersberg,99.3
16061,LK,Eichsfeld,100.0
9176,LK,Eichstätt,100.0
16056,SK,Eisenach,-61.4
12062,LK,Elbe-Elster,90.6
3402,SK,Emden,92.9
8316,LK,Emmendingen,100.0
3454,LK,Emsland,100.0
5954,LK,Ennepe-Ruhr-Kreis,100.0
8236,LK,Enzkreis,100.0
9177,LK,Erding,100.0
16051,SK,Erfurt,100.0
9562,SK,Erlangen,99.6
9572,LK,Erlangen-Höchstadt,100.0
14521,LK,Erzgebirgskreis,100.0
5113,SK,Essen,100.0
8116,LK,Esslingen,100.0
5366,LK,Euskirchen,100.0
1001,SK,Flensburg,100.0
9474,LK,Forchheim,100.0
7311,SK,Frankenthal,99.9
12053,SK,Frankfurt (Oder),100.0
6412,SK,Frankfurt am Main,100.0
8311,SK,Freiburg i.Breisgau,100.0
9178,LK,Freising,100.0
8237,LK,Freudenstadt,100.0
9272,LK,Freyung-Grafenau,99.8
3455,LK,Friesland,91.7
6631,LK,Fulda,100.0
9179,LK,Fürstenfeldbruck,100.0
9563,SK,Fürth,100.0
9573,LK,Fürth,100.0
9180,LK,Garmisch-Partenkirchen,100.0
5513,SK,Gelsenkirchen,100.0
16052,SK,Gera,96.3
7334,LK,Germersheim,100.0
6531,LK,Gießen,100.0
3151,LK,Gifhorn,100.0
8117,LK,Göppingen,100.0
14626,LK,Görlitz,100.0
3153,LK,Goslar,100.0
16067,LK,Gotha,100.0
3159,LK,Göttingen,100.0
3456,LK,Grafschaft Bentheim,100.0
16076,LK,Greiz,100.0
6433,LK,Groß-Gerau,100.0
9774,LK,Günzburg,100.0
5754,LK,Gütersloh,100.0
5914,SK,Hagen,100.0
15002,SK,Halle,100.0
2000,SK,Hamburg,100.0
3252,LK,Hameln-Pyrmont,100.0
5915,SK,Hamm,100.0
3241,Region,Hannover,100.0
3353,LK,Harburg,100.0
15085,LK,Harz,100.0
9674,LK,Haßberge,100.0
12063,LK,Havelland,99.5
3358,LK,Heidekreis,99.9
8221,SK,Heidelberg,100.0
8135,LK,Heidenheim,100.0
8121,SK,Heilbronn,100.0
8125,LK,Heilbronn,100.0
5370,LK,Heinsberg,86.1
3154,LK,Helmstedt,100.0
5758,LK,Herford,100.0
